Title,URL,Date,Image
សមាគមសិល្បៈករខ្មែរ គាំទ្រយុទ្ធនាការទស្សនាកម្ពុជានៅរដូវកាលបៃតង! Visit Cambodia in Green Season!,https://tourism.gov.kh/2025/06/news-128/,ថ្ងៃទី23 ខែមិថុនា 2025,https://asset.cambodia.gov.kh/tourism/2025/06/photo_9_2025-06-23_09-03-51-768x343.jpg
កម្ពុជា និងម៉ាឡេស៊ី៖ រួមគ្នាពង្រឹង និងពង្រីកការតភ្ជាប់ផ្នែកទេសចរណ៍ និងការផ្លាស់ប្ដូររវាងប្រជាជននិងប្រជាជន,https://tourism.gov.kh/2025/06/news-127/,ថ្ងៃទី21 ខែមិថុនា 2025,https://asset.cambodia.gov.kh/tourism/2025/06/photo_6_2025-06-21_10-23-33-768x410.jpg
សម្តេចតេជោ ហ៊ុន សែន អនុញ្ញាតឱ្យ ឯកឧត្តម Dato SRI Tiong King Sing រដ្ឋមន្ត្រីក្រសួងទេសចរណ៍ សិល្បៈ និងវប្បធម៍ នៃប្រទេសម៉ាឡេស៊ី ចូលជួបសម្តែងការគួរសម,https://tourism.gov.kh/2025/06/news-126/,ថ្ងៃទី21 ខែមិថុនា 2025,https://asset.cambodia.gov.kh/tourism/2025/06/photo_1_2025-06-21_09-57-06-1-e1750901969198-768x435.jpg
ឯកឧត្តម ហួត ហាក់ រដ្ឋមន្រ្តីក្រសួងទេសចរណ៍ បានអនុញ្ញាតជូន អ្នកឧកញ៉ា លីម ហ៊ួរនីតូ និងលោក Li Zhen សហប្រធានសមាគមយុវជនឌីជីថលកម្ពុជា-ចិន ព្រមទាំង KOLs ល្បីៗរបស់ប្រទេសកម្ពុជា និងប្រទេសចិន,https://tourism.gov.kh/2025/06/news-125/,ថ្ងៃទី20 ខែមិថុនា 2025,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20768%20347'%3E%3C/svg%3E"
"ក្នុងស្មារតីបុរេសកម្ម, សកម្ម, និងអន្តរសកម្ម, មហាគ្រួសារវិស័យទេសចរណ៍ រួបរួមសាមគ្គីគ្នា ក្រោមទិសស្លោក៖ «ទាំងអស់គ្នាដើម្បីទេសចរណ៍, ទេសចរណ៍ដើម្បីទាំងអស់គ្នា»",https://tourism.gov.kh/2025/06/news-124/,ថ្ងៃទី20 ខែមិថុនា 2025,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20768%20321'%3E%3C/svg%3E"
ជំនួបពិភាក្សាការងារជាមួយស្ថានទូតបារាំងលើវឌ្ឍនភាព និងការត្រៀមបើកដំណើរការសាលាវិជ្ជាជីវៈទេសចរណ៍ដំបូងគេនៅប្រទេសកម្ពុជា,https://tourism.gov.kh/2025/06/news-123/,ថ្ងៃទី19 ខែមិថុនា 2025,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20768%20391'%3E%3C/svg%3E"
ឯកឧត្តម ហួត ហាក់ រដ្ឋមន្ត្រីក្រសួងទេសចរណ៍ បានអញ្ជើញជាអធិបតីក្នុងពិធីបើកសិក្ខាសាលាស្តីពីការប្រយុទ្ធប្រឆាំងផលិតផលក្លែងក្លាយដែលបង្កគ្រោះថ្នាក់មានហានិភ័យខ្ពស់ដល់សុខភាព និងសុវត្ថិភាពសង្គមក្នុងវិស័យទេសចរណ៍,https://tourism.gov.kh/2025/06/news-122/,ថ្ងៃទី18 ខែមិថុនា 2025,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20768%20479'%3E%3C/svg%3E"
កិច្ចប្រជុំលើកដំបូងរបស់គណៈកម្មាធិការជាតិគ្រប់គ្រង និងអភិវឌ្ឍសហគមន៍ទេសចរណ៍ និងអេកូទេសចរណ៍ ក្នុងអាណត្តិ រាជរដ្ឋាភិបាល នីតិកាលទី៧ នៃរដ្ឋសភា,https://tourism.gov.kh/2025/06/news-120/,ថ្ងៃទី17 ខែមិថុនា 2025,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20768%20382'%3E%3C/svg%3E"
ឯកឧត្តម ហួត ហាក់ រដ្ឋមន្រ្តីក្រសួងទេសចរណ៍ អញ្ជើញចូលរួមកិច្ចប្រជុំក្រុមប្រឹក្សាភិបាលគ្រឹះស្ថានអង្គរ អាណត្តិទី៣ លើកទី៦ និងចុះពិនិត្យបញ្ជរលក់សំបុត្ររបស់គ្រឹះស្ថានអង្គរ,https://tourism.gov.kh/2025/06/news-121/,ថ្ងៃទី16 ខែមិថុនា 2025,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20768%20512'%3E%3C/svg%3E"
ស្មារតីរួមសុខរួមទុក្ខដែលផ្សារភ្ជាប់រវាងមន្ត្រីរាជការ ប្រជាពលរដ្ឋ ជាមួយកងទ័ពជួរមុខ បានក្លាយទៅជាខឿនការពារជាតិដ៏រឹងមាំនៅតាមព្រំដែន,https://tourism.gov.kh/2025/06/news-119/,ថ្ងៃទី16 ខែមិថុនា 2025,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20768%20458'%3E%3C/svg%3E"
